Rk,Player_first,Player_last,Tot,NBA
1,Kareem,Abdul-Jabbar,19,19
2,LeBron,James,19,19
3,Kobe,Bryant,18,18
4,Julius,Erving,16,11
5,Tim,Duncan,15,15
6,Kevin,Garnett,15,15
7,Shaquille,O'Neal,15,15
8,Michael,Jordan,14,14
9,Karl,Malone,14,14
10,Dirk,Nowitzki,14,14
11,Jerry,West,14,14
12,Wilt,Chamberlain,13,13
13,Bob,Cousy,13,13
14,Kevin,Durant,13,13
15,John,Havlicek,13,13
16,Moses,Malone,13,12
17,Dwyane,Wade,13,13
18,Rick,Barry,12,8
19,Larry,Bird,12,12
20,George,Gervin,12,9
21,Elvin,Hayes,12,12
22,Magic,Johnson,12,12
23,Hakeem,Olajuwon,12,12
24,Chris,Paul,12,12
25,Oscar,Robertson,12,12
26,Bill,Russell,12,12
27,Dolph,Schayes,12,12
28,Isiah,Thomas,12,12
29,Charles,Barkley,11,11
30,Elgin,Baylor,11,11
31,Chris,Bosh,11,11
32,Patrick,Ewing,11,11
33,Artis,Gilmore,11,6
34,Allen,Iverson,11,11
35,Bob,Pettit,11,11
36,Ray,Allen,10,10
37,Carmelo,Anthony,10,10
38,Paul,Arizin,10,10
39,Clyde,Drexler,10,10
40,Hal,Greer,10,10
41,James,Harden,10,10
42,Jason,Kidd,10,10
43,Paul,Pierce,10,10
44,David,Robinson,10,10
45,John,Stockton,10,10
46,Stephen,Curry,9,9
47,Robert,Parish,9,9
48,Gary,Payton,9,9
49,Russell,Westbrook,9,9
50,Lenny,Wilkens,9,9
51,Dominique,Wilkins,9,9
52,Vince,Carter,8,8
53,Dave,Cowens,8,8
54,Anthony,Davis,8,8
55,Dave,DeBusschere,8,8
56,Alex,English,8,8
57,Larry,Foust,8,8
58,Paul,George,8,8
59,Dwight,Howard,8,8
60,Kyrie,Irving,8,8
61,Bob,Lanier,8,8
62,Yao,Ming,8,8
63,Dikembe,Mutombo,8,8
64,Steve,Nash,8,8
65,Bill,Sharman,8,8
66,LaMarcus,Aldridge,7,7
67,Giannis,Antetokounmpo,7,7
68,Dave,Bing,7,7
69,Louie,Dampier,7,0
70,Mel,Daniels,7,0
71,Walt,Frazier,7,7
72,Harry,Gallatin,7,7
73,Grant,Hill,7,7
74,Dan,Issel,7,1
75,Joe,Johnson,7,7
76,Damian,Lillard,7,7
77,Jerry,Lucas,7,7
78,Ed,Macauley,7,7
79,Slater,Martin,7,7
80,Tracy,McGrady,7,7
81,Dick,McGuire,7,7
82,Kevin,McHale,7,7
83,Alonzo,Mourning,7,7
84,Scottie,Pippen,7,7
85,Willis,Reed,7,7
