Rk	Player	Tot	NBA	ABA
1	Kareem Abdul-Jabbar	19	19	0
2	LeBron James	19	19	0
3	Kobe Bryant	18	18	0
4	Julius Erving	16	11	5
5	Tim Duncan	15	15	0
6	Kevin Garnett	15	15	0
7	Shaquille O'Neal	15	15	0
8	Michael Jordan	14	14	0
9	Karl Malone	14	14	0
10	Dirk Nowitzki	14	14	0
11	Jerry West	14	14	0
12	Wilt Chamberlain	13	13	0
13	Bob Cousy	13	13	0
14	Kevin Durant	13	13	0
15	John Havlicek	13	13	0
16	Moses Malone	13	12	1
17	Dwyane Wade	13	13	0
18	Rick Barry	12	8	4
19	Larry Bird	12	12	0
20	George Gervin	12	9	3
21	Elvin Hayes	12	12	0
22	Magic Johnson	12	12	0
23	Hakeem Olajuwon	12	12	0
24	Chris Paul	12	12	0
25	Oscar Robertson	12	12	0
26	Bill Russell	12	12	0
27	Dolph Schayes	12	12	0
28	Isiah Thomas	12	12	0
29	Charles Barkley	11	11	0
30	Elgin Baylor	11	11	0
31	Chris Bosh	11	11	0
32	Patrick Ewing	11	11	0
33	Artis Gilmore	11	6	5
34	Allen Iverson	11	11	0
35	Bob Pettit	11	11	0
36	Ray Allen	10	10	0
37	Carmelo Anthony	10	10	0
38	Paul Arizin	10	10	0
39	Clyde Drexler	10	10	0
40	Hal Greer	10	10	0
41	James Harden	10	10	0
42	Jason Kidd	10	10	0
43	Paul Pierce	10	10	0
44	David Robinson	10	10	0
45	John Stockton	10	10	0
46	Stephen Curry	9	9	0
47	Robert Parish	9	9	0
48	Gary Payton	9	9	0
49	Russell Westbrook	9	9	0
50	Lenny Wilkens	9	9	0
51	Dominique Wilkins	9	9	0
52	Vince Carter	8	8	0
53	Dave Cowens	8	8	0
54	Anthony Davis	8	8	0
55	Dave DeBusschere	8	8	0
56	Alex English	8	8	0
57	Larry Foust	8	8	0
58	Paul George	8	8	0
59	Dwight Howard	8	8	0
60	Kyrie Irving	8	8	0
61	Bob Lanier	8	8	0
62	Yao Ming	8	8	0
63	Dikembe Mutombo	8	8	0
64	Steve Nash	8	8	0
65	Bill Sharman	8	8	0
66	LaMarcus Aldridge	7	7	0
67	Giannis Antetokounmpo	7	7	0
68	Dave Bing	7	7	0
69	Louie Dampier	7	0	7
70	Mel Daniels	7	0	7
71	Walt Frazier	7	7	0
72	Harry Gallatin	7	7	0
73	Grant Hill	7	7	0
74	Dan Issel	7	1	6
75	Joe Johnson	7	7	0
76	Damian Lillard	7	7	0
77	Jerry Lucas	7	7	0
78	Ed Macauley	7	7	0
79	Slater Martin	7	7	0
80	Tracy McGrady	7	7	0
81	Dick McGuire	7	7	0
82	Kevin McHale	7	7	0
83	Alonzo Mourning	7	7	0
84	Scottie Pippen	7	7	0
85	Willis Reed	7	7	0
86	Jack Sikma	7	7	0
87	Nate Thurmond	7	7	0
88	Chet Walker	7	7	0
89	Jo Jo White	7	7	0
90	James Worthy	7	7	0
91	Tiny Archibald	6	6	0
92	Jimmy Butler	6	6	0
93	Larry Costello	6	6	0
94	Adrian Dantley	6	6	0
95	Walter Davis	6	6	0
96	DeMar DeRozan	6	6	0
97	Joe Dumars	6	6	0
98	Joel Embiid	6	6	0
99	Pau Gasol	6	6	0
100	Blake Griffin	6	6	0
101	Richie Guerin	6	6	0
102	Cliff Hagan	6	5	1
103	Tom Heinsohn	6	6	0
104	Bailey Howell	6	6	0
105	Lou Hudson	6	6	0
106	Neil Johnston	6	6	0
107	Jimmy Jones	6	0	6
108	Shawn Kemp	6	6	0
109	Kyle Lowry	6	6	0
110	George McGinnis	6	3	3
111	Vern Mikkelsen	6	6	0
112	Jermaine O'Neal	6	6	0
113	Tony Parker	6	6	0
114	Mitch Richmond	6	6	0
115	Amar'e Stoudemire	6	6	0
116	Jack Twyman	6	6	0
117	George Yardley	6	6	0
118	Zelmo Beaty	5	2	3
119	Chauncey Billups	5	5	0
120	Carl Braun	5	5	0
121	Mack Calvin	5	0	5
122	Billy Cunningham	5	4	1
123	Brad Daugherty	5	5	0
124	Wayne Embry	5	5	0
125	Donnie Freeman	5	0	5
126	Tom Gola	5	5	0
127	Gail Goodrich	5	5	0
128	Tim Hardaway	5	5	0
129	Connie Hawkins	5	4	1
130	Spencer Haywood	5	4	1
131	Al Horford	5	5	0
132	Dennis Johnson	5	5	0
133	Gus Johnson	5	5	0
134	Marques Johnson	5	5	0
135	Nikola Jokić	5	5	0
136	Bobby Jones	5	4	1
137	Sam Jones	5	5	0
138	Larry Kenon	5	2	3
139	Rudy LaRusso	5	5	0
140	Kawhi Leonard	5	5	0
141	Kevin Love	5	5	0
142	Maurice Lucas	5	4	1
143	Pete Maravich	5	5	0
144	Bob McAdoo	5	5	0
145	Reggie Miller	5	5	0
146	Sidney Moncrief	5	5	0
147	Chris Mullin	5	5	0
148	Don Ohl	5	5	0
149	Andy Phillip	5	5	0
150	Charlie Scott	5	3	2
151	Gene Shue	5	5	0
152	Ralph Simpson	5	0	5
153	David Thompson	5	4	1
154	Klay Thompson	5	5	0
155	Rudy Tomjanovich	5	5	0
156	Wes Unseld	5	5	0
157	John Wall	5	5	0
158	Bobby Wanzer	5	5	0
159	Chris Webber	5	5	0
160	Paul Westphal	5	5	0
161	Vin Baker	4	4	0
162	Walt Bellamy	4	4	0
163	Otis Birdsong	4	4	0
164	Rolando Blackman	4	4	0
165	Ron Boone	4	0	4
166	Roger Brown	4	0	4
167	Joe Caldwell	4	2	2
168	Tom Chambers	4	4	0
169	Maurice Cheeks	4	4	0
170	Doug Collins	4	4	0
171	DeMarcus Cousins	4	4	0
172	Bob Dandridge	4	4	0
173	Bob Davies	4	4	0
174	Luka Dončić	4	4	0
175	Dick Garmaker	4	4	0
176	Draymond Green	4	4	0
177	Johnny Green	4	4	0
178	Anfernee Hardaway	4	4	0
179	Mel Hutchins	4	4	0
180	Warren Jabali	4	0	4
181	Larry Jones	4	0	4
182	Bernard King	4	4	0
183	Bill Laimbeer	4	4	0
184	Clyde Lovellette	4	4	0
185	Shawn Marion	4	4	0
186	George Mikan	4	4	0
187	Paul Millsap	4	4	0
188	Donovan Mitchell	4	4	0
189	Earl Monroe	4	4	0
190	Willie Naulls	4	4	0
191	Bob Netolicky	4	0	4
192	Jim Pollard	4	4	0
193	Mark Price	4	4	0
194	Micheal Ray Richardson	4	4	0
195	Arnie Risen	4	4	0
196	Red Robbins	4	0	4
197	Alvin Robertson	4	4	0
198	Guy Rodgers	4	4	0
199	Rajon Rondo	4	4	0
200	Ralph Sampson	4	4	0
201	Latrell Sprewell	4	4	0
202	Jayson Tatum	4	4	0
203	Kemba Walker	4	4	0
204	Ben Wallace	4	4	0
205	Rasheed Wallace	4	4	0
206	Sidney Wicks	4	4	0
207	Mark Aguirre	3	3	0
208	Gilbert Arenas	3	3	0
209	Bradley Beal	3	3	0
210	John Beasley	3	0	3
211	Devin Booker	3	3	0
212	Bill Bridges	3	3	0
213	Larry Brown	3	0	3
214	Darel Carrier	3	0	3
215	Phil Chenier	3	3	0
216	Glen Combs	3	0	3
217	Terry Dischinger	3	3	0
218	Steve Francis	3	3	0
219	Marc Gasol	3	3	0
220	Rudy Gobert	3	3	0
221	Richard Hamilton	3	3	0
222	Kevin Johnson	3	3	0
223	Stew Johnson	3	0	3
224	Eddie Jones	3	3	0
225	Steve Jones	3	0	3
226	Bob Kauffman	3	3	0
227	Red Kerr	3	3	0
228	Billy Knight	3	2	1
229	Freddie Lewis	3	0	3
230	Bob Love	3	3	0
231	Dan Majerle	3	3	0
232	Bill Melchionni	3	0	3
233	Khris Middleton	3	3	0
234	Doug Moe	3	0	3
235	Jeff Mullins	3	3	0
236	Larry Nance	3	3	0
237	Billy Paultz	3	0	3
238	Glen Rice	3	3	0
239	Derrick Rose	3	3	0
240	Dan Roundfield	3	3	0
241	Brandon Roy	3	3	0
242	Domantas Sabonis	3	3	0
243	Detlef Schrempf	3	3	0
244	Paul Seymour	3	3	0
245	Ben Simmons	3	3	0
246	Peja Stojaković	3	3	0
247	Maurice Stokes	3	3	0
248	George Thompson	3	0	3
249	Karl-Anthony Towns	3	3	0
250	Dick Van Arsdale	3	3	0
251	Tom Van Arsdale	3	3	0
252	Norm Van Lier	3	3	0
253	Antoine Walker	3	3	0
254	Jamaal Wilkes	3	3	0
255	Buck Williams	3	3	0
256	Deron Williams	3	3	0
257	Willie Wise	3	0	3
258	Bam Adebayo	2	2	0
259	Marvin Barnes	2	0	2
260	Leo Barnhorst	2	2	0
261	Byron Beck	2	0	2
262	Art Becker	2	0	2
263	Carlos Boozer	2	2	0
264	Elton Brand	2	2	0
265	Terrell Brandon	2	2	0
266	Frankie Brian	2	2	0
267	John Brisker	2	0	2
268	Jaylen Brown	2	2	0
269	Don Buse	2	1	1
270	Caron Butler	2	2	0
271	Archie Clark	2	2	0
272	Terry Cummings	2	2	0
273	Baron Davis	2	2	0
274	Warren Davis	2	0	2
275	Luol Deng	2	2	0
276	John Drew	2	2	0
277	Andre Drummond	2	2	0
278	Kevin Duckworth	2	2	0
279	Walter Dukes	2	2	0
280	Dike Eddleman	2	2	0
281	Sean Elliott	2	2	0
282	Michael Finley	2	2	0
283	Joe Fulks	2	2	0
284	Jack George	2	2	0
285	Manu Ginóbili	2	2	0
286	Roy Hibbert	2	2	0
287	Jrue Holiday	2	2	0
288	Allan Houston	2	2	0
289	Hot Rod Hundley	2	2	0
290	Les Hunter	2	0	2
291	Zydrunas Ilgauskas	2	2	0
292	Antawn Jamison	2	2	0
293	Eddie Johnson	2	2	0
294	John Johnson	2	2	0
295	Larry Johnson	2	2	0
296	Rich Jones	2	0	2
297	Don Kojis	2	2	0
298	Wendell Ladner	2	0	2
299	Zach LaVine	2	2	0
300	David Lee	2	2	0
301	Fat Lever	2	2	0
302	Mike Lewis	2	0	2
303	Rashard Lewis	2	2	0
304	Jeff Malone	2	2	0
305	Danny Manning	2	2	0
306	Stephon Marbury	2	2	0
307	Jack Marin	2	2	0
308	Brad Miller	2	2	0
309	Ja Morant	2	2	0
310	Swen Nater	2	0	2
311	Norm Nixon	2	2	0
312	Joakim Noah	2	2	0
313	Victor Oladipo	2	2	0
314	Jim Paxson	2	2	0
315	Geoff Petrie	2	2	0
316	Terry Porter	2	2	0
317	Cincy Powell	2	0	2
